consumer_index_year,consumer_index_value,office_year,office_index_value,earnings_year,earnings_canada,housing_prices_year,single_family_benchmark,single_family_hpi
2001,0.2,1987,68.1,,,,,
2001,0,1987,64.1,,,,,
2001,0,1987,60.1,,,,,
2001,98.2,1987,66.3,,,,,
2001,98.2,1987,59.7,,,,,
2001,1.6,1987,70.3,,,,,
2001,97.5,1987,66.6,,,,,
2001,97.7,1987,64.5,,,,,
2001,116.5,1987,72.6,,,,,
2001,115.9,1987,71.2,,,,,
2001,116.6,1987,73.6,,,,,
2001,115.9,1987,72.7,,,,,
2001,0.2,1987,73.2,,,,,
2001,0.3,1987,73.2,,,,,
2001,0.1,1987,68.6,,,,,
2001,0.2,1987,74.6,,,,,
2001,98.1,1987,76.9,,,,,
2001,98.4,1987,75.3,,,,,
2001,1.6,1987,72.6,,,,,
2001,97.7,1987,68.5,,,,,
2001,98,1987,73,,,,,
2001,116.6,1987,76.2,,,,,
2001,115.8,1987,80,,,,,
2001,117,1987,71.9,,,,,
